회사명,종목코드,업종
서린바이오,038070,전문 도매
에코플라스틱,038110,자동차 부품
마크로젠,038290,과학 및 기술 서비스
UCI,038340,교습 학원
레드캡투어,038390,여행사
바이오스마트,038460,전자부품 제조
삼표시멘트,038500,비금속 광물 제조
골드퍼시픽,038530,생활용품 도매
상상인,038540,컴퓨터 시스템 관리
위즈코프,038620,연료 소매
에스넷,038680,컴퓨터 시스템 관리
에코바이오,038870,사업시설 유지 관리
아이에이,038880,전자부품 제조
파인디지털,038950,통신 장비 제조
현대에이치티,039010,통신 장비 제조
이건홀딩스,039020,목재 가공
이오테크닉스,039030,특수 목적용 기계 제조
하나투어,039130,여행사
오스코텍,039200,의약품 제조
경남스틸,039240,1차 철강
인포뱅크,039290,서비스
세중,039310,여행사
한국경제TV,039340,텔레비전 방송
케이엘넷,039420,전기 통신
에스티아이,039440,특수 목적용 기계 제조
키움증권,039490,금융 지원
다산네트웍스,039560,통신 장비 제조
HDC랩스,039570,전기 및 통신 공사
화성밸브,039610,일반 목적용 기계 제조
한국정보공학,039740,전문 도매
오로라,039830,전문디자인
디오,039840,의료기기 제조
나노엔텍,039860,의료기기 제조
리노스,039980,의류 소매업
누리플렉스,040160,소프트웨어 개발
YTN,040300,방송 컨텐츠 제작
큐로컴,040350,컴퓨터 시스템 관리
정상제이엘에스,040420,교습 학원
SG&G,040610,자동차 부품
아이씨디,040910,특수 목적용 기계 제조
폴라리스오피스,041020,소프트웨어 개발
우리기술투자,041190,기타 금융
현대에버다임,041440,특수 목적용 기계 제조
한국전자인증,041460,소프트웨어 개발
에스엠,041510,음반 제작
이라이콤,041520,상품 중개
플래스크,041590,실내 건축
상신브레이크,041650,자동차 부품
인바디,041830,의료기기 제조
에스텍파마,041910,의약품 제조
메디아나,041920,의료기기 제조
동아화성,041930,고무제품 제조
코미팜,041960,의약품 제조
카페24,042000,인터넷 정보매개 서비스
케이피엠테크,042040,화학제품
에스씨디,042110,가정용 기기 제조
비츠로테크,042370,기타 금융
네오위즈홀딩스,042420,소프트웨어 개발
링네트,042500,컴퓨터 시스템 관리
라온시큐어,042510,소프트웨어 개발
한스바이오메드,042520,의료용품 제조
새로닉스,042600,전자부품 제조
대우조선해양,042660,선박 건조
현대두산인프라코어,042670,특수 목적용 기계 제조
한미반도체,042700,특수 목적용 기계 제조
상지카일룸,042940,건물 건설
한창바이오텍,043090,전문 도매
솔고바이오,043100,의료기기 제조
바텍,043150,의료기기 제조
파루,043200,전기 장치 제조
티에스넥스젠,043220,특수 목적용 기계 제조
성호전자,043260,전자부품 제조
에쎈테크,043340,일반 목적용 기계 제조
디지아이,043360,컴퓨터 주변장치 제조
피에이치에이,043370,자동차 부품
크로바하이텍,043590,반도체 제조
지니뮤직,043610,인터넷 정보매개 서비스
국순당,043650,알코올 음료
서울리거,043710,전문 도매
자연과환경,043910,환경 정화 및 복원
조광ILI,044060,일반 목적용 기계 제조
KD,044180,건물 건설
위닉스,044340,가정용 기기 제조
주연테크,044380,컴퓨터 주변장치 제조
KSS해운,044450,해상 운송
블루베리 NFT,044480,고무제품 제조
태웅,044490,금속 가공
에이치케이,044780,특수 목적용 기계 제조
코스맥스비티아이,044820,기타 금융
이글벳,044960,전문 도매
에이치엔에스하이텍,044990,전자부품 제조
오공,045060,화학제품
한양이엔지,045100,건축기술
성우테크론,045300,전자부품 제조
토탈소프트,045340,소프트웨어 개발
대아티아이,045390,전기장비 제조
정원엔시스,045510,컴퓨터 시스템 관리
크린앤사이언스,045520,일반 목적용 기계 제조
에이텍,045660,컴퓨터 주변장치 제조
코아시아,045970,반도체 제조
코다코,046070,자동차 부품
한일네트웍스,046110,인터넷 정보매개 서비스
오르비텍,046120,과학기술 서비스
SBS콘텐츠허브,046140,방송 컨텐츠 제작
파나진,046210,의료용품 제조
백금T&A,046310,통신 장비 제조
삼화네트웍스,046390,방송 컨텐츠 제작
KG모빌리언스,046440,소프트웨어 개발
서울반도체,046890,반도체 제조
우원개발,046940,기반조성 및 시설물 축조
우리로,046970,전문 도매
대우건설,047040,건물 건설
포스코인터내셔널,047050,상품 중개
한빛소프트,047080,소프트웨어 개발
파워로직스,047310,전기 장치 제조
유니온머티리얼,047400,"내화, 비내화 요업제품 제조"
이스트소프트,047560,소프트웨어 개발
코데즈컴바인,047770,의복 제조
한국항공우주,047810,항공기 부품 제조
초록뱀미디어,047820,방송 컨텐츠 제작
HLB제약,047920,연구개발
오스템임플란트,048260,의료기기 제조
현대바이오,048410,화학제품
유라테크,048430,전기 장치 제조
대동스틸,048470,1차 철강
인트론바이오,048530,의약물 제조
SM C&C,048550,광고
TPC,048770,일반 목적용 기계 제조
엔피케이,048830,합성고무 및 플라스틱 제조
시너지이노베이션,048870,의료기기 제조
대원미디어,048910,전문 도매
인탑스,049070,통신 장비 제조
기가레인,049080,특수 목적용 기계 제조
파인디앤씨,049120,전자부품 제조
셀루메드,049180,의약물 제조
코메론,049430,정밀기기 제조
SGA,049470,소프트웨어 개발
오픈베이스,049480,컴퓨터 시스템 관리
유아이엘,049520,전자부품 제조
잉크테크,049550,화학제품
재영솔루텍,049630,광학기기 제조
고려신용정보,049720,사업지원 서비스
동원F&B,049770,기타 식품 제조
우진플라임,049800,특수 목적용 기계 제조
승일,049830,금속 가공
미래컴퍼니,049950,특수 목적용 기계 제조
쎌바이오텍,049960,의약물 제조
비케이홀딩스,050090,전자부품 제조
캠시스,050110,전자부품 제조
ES큐브,050120,생활용품 도매
에스에이치엔엘,050320,기계장비 도매
한국코퍼레이션,050540,사업지원 서비스
에스폴리텍,050760,플라스틱제품 제조
아세아텍,050860,특수 목적용 기계 제조
쏠리드,050890,통신 장비 제조
수산아이앤티,050960,소프트웨어 개발
지어소프트,051160,소프트웨어 개발
토비스,051360,영상 및 음향기기 제조
인터플렉스,051370,전자부품 제조
피씨디렉트,051380,기계장비 도매
YW,051390,상품 종합 도매
나라엠앤디,051490,특수 목적용 기계 제조
CJ프레시웨이,051500,음·식료품 도매
한전KPS,051600,전기 및 통신 공사
진양화학,051630,플라스틱제품 제조
큐로홀딩스,051780,음·식료품 및 담배 소매
LG생활건강,051900,화학제품
LG화학,051910,화학물질 제조
중앙디앤엠,051980,플라스틱제품 제조
에스티큐브,052020,기계장비 도매
세영디앤씨,052190,창작 및 예술관련
iMBC,052220,인터넷 정보매개 서비스
현대바이오랜드,052260,화학제품
초록뱀컴퍼니,052300,운송 서비스
코텍,052330,영상 및 음향기기 제조
코나아이,052400,소프트웨어 개발
오성첨단소재,052420,플라스틱제품 제조
아이크래프트,052460,컴퓨터 시스템 관리
한네트,052600,전기 통신
제일바이오,052670,의약품 제조
한전기술,052690,건축기술
아모텍,052710,전자부품 제조
아이톡시,052770,소프트웨어 개발
액토즈소프트,052790,소프트웨어 개발
아이앤씨,052860,반도체 제조
KMH하이텍,052900,플라스틱제품 제조
바이넥스,053030,의약품 제조
지에스이,053050,연료용 가스 제조 및 배관
세동,053060,자동차 부품
원방테크,053080,일반 목적용 기계 제조
소리바다,053110,인터넷 정보매개 서비스
프리엠스,053160,전기 장치 제조
케이티스카이라이프,053210,텔레비전 방송
금강철강,053260,1차 철강
구영테크,053270,자동차 부품
예스24,053280,무점포 소매
NE능률,053290,인쇄물 출판
한국정보인증,053300,소프트웨어 개발
이니텍,053350,소프트웨어 개발
세코닉스,053450,광학기기 제조
웹케시,053580,소프트웨어 개발
한국테크놀로지,053590,자동차 부품
프로텍,053610,특수 목적용 기계 제조
태양,053620,금속 가공
한미글로벌,053690,건축기술
삼보모터스,053700,자동차 부품
안랩,053800,소프트웨어 개발
경남제약,053950,의약품 제조
오상자이엘,053980,컴퓨터 시스템 관리
한국컴퓨터,054040,전자부품 제조
농우바이오,054050,작물 재배
삼진엘앤디,054090,기타 제품 제조
메디콕스,054180,선박 건조
이랜텍,054210,전자부품 제조
비츠로시스,054220,전기 장치 제조
팬스타엔터프라이즈,054300,일반 목적용 기계 제조
케이피티유,054410,금속 가공
텔레칩스,054450,반도체 제조
삼영엠텍,054540,구조용 금속제품 제조
APS홀딩스,054620,기타 금융
에이디칩스,054630,기타 제품 제조
대한뉴팜,054670,의약품 제조
키이스트,054780,방송 컨텐츠 제작
아이디스홀딩스,054800,전문 서비스
한컴위드,054920,소프트웨어 개발
유신,054930,건축기술
엑사이엔씨,054940,실내 건축
제이브이엠,054950,일반 목적용 기계 제조
테이팩스,055490,플라스틱제품 제조
신한지주,055550,기타 금융
코원플레이,056000,소프트웨어 개발
유진로봇,056080,특수 목적용 기계 제조
유앤아이,056090,의료기기 제조
에스에프에이,056190,특수 목적용 기계 제조
코위버,056360,통신 장비 제조
신화인터텍,056700,플라스틱제품 제조
CNT85,056730,전문 도매
YBM넷,057030,교육지원
현대홈쇼핑,057050,무점포 소매
옴니시스템,057540,정밀기기 제조
티사이언티픽,057680,소프트웨어 개발
피에이치씨,057880,의류 소매업
멕아이씨에스,058110,의료기기 제조
아리온,058220,통신 장비 제조
KNN,058400,텔레비전 방송
제이웨이,058420,방송 컨텐츠 제작
포스코스틸리온,058430,1차 철강
일야,058450,통신 장비 제조
리노공업,058470,전자부품 제조
파나케이아,058530,생활용품 도매
에스피지,058610,전기 장치 제조
엠게임,058630,소프트웨어 개발
세아홀딩스,058650,1차 철강
다스코,058730,구조용 금속제품 제조
CMG제약,058820,의약품 제조
KTcs,058850,서비스
KTis,058860,서비스
엠로,058970,소프트웨어 개발
미코,059090,반도체 제조
아이컴포넌트,059100,전자부품 제조
아진엑스텍,059120,반도체 제조
메타바이오메드,059210,의료용품 제조
해성티피씨,059270,금속 가공
인선이엔티,060150,폐기물 처리
소니드,060230,전자부품 제조
룽투코리아,060240,소프트웨어 개발
NHN한국사이버결제,060250,서비스
뉴보텍,060260,플라스틱제품 제조
큐렉소,060280,상품 소매
레드로버,060300,방송 컨텐츠 제작
3S,060310,전자부품 제조
KT서브마린,060370,전기 및 통신 공사
동양에스텍,060380,1차 철강
국일신동,060480,1차 비철금속 제조
에스에이티,060540,정밀기기 제조
홈센타홀딩스,060560,전문 도매
드림어스컴퍼니,060570,인터넷 정보매개 서비스
씨티씨바이오,060590,의약품 제조
KH바텍,060720,전자부품 제조
영림원소프트랩,060850,소프트웨어 개발
대한그린파워,060900,화학제품
한라홀딩스,060980,기타 금융
알에프텍,061040,통신 장비 제조
화일약품,061250,의약품 제조
엘비세미콘,061970,반도체 제조
티엘아이,062860,반도체 제조
피피아이,062970,통신 장비 제조
컴투스홀딩스,063080,소프트웨어 개발
종근당바이오,063160,의약품 제조
서울옥션,063170,상품 중개
SM Life Design,063440,기록매체 복제
한국전자금융,063570,사업지원 서비스
이엘피,063760,정밀기기 제조
에프앤리퍼블릭,064090,상품 종합 도매
홈캐스트,064240,영상 및 음향기기 제조
다날,064260,소프트웨어 개발
인텍플러스,064290,특수 목적용 기계 제조
현대로템,064350,철도장비 제조
브리지텍,064480,소프트웨어 개발
유네코,064510,특수 목적용 기계 제조
바른전자,064520,반도체 제조
바이오니아,064550,의료용품 제조
티씨케이,064760,비금속 광물 제조
젬백스링크,064800,의류 소매업
케이프,064820,선박 건조
에프앤가이드,064850,서비스
SNT모티브,064960,자동차 부품
지엔코,065060,의복 제조
탑엔지니어링,065130,특수 목적용 기계 제조
엠피대산,065150,음·식료품 도매
비엘팜텍,065170,음·식료품 도매
신성델타테크,065350,가정용 기기 제조
위세아이텍,065370,소프트웨어 개발
에스아이리소스,065420,석탄
이루온,065440,소프트웨어 개발
빅텍,065450,정밀기기 제조
오리엔트정공,065500,자동차 부품
휴비츠,065510,의료기기 제조
와이어블,065530,전기 통신
녹원씨엔아이,065560,인쇄
삼영이엔씨,065570,통신 장비 제조
메디프론,065650,기계장비 도매
안트로젠,065660,전문 도매
우주일렉트로,065680,전자부품 제조
파커스,065690,반도체 제조
서호전기,065710,전기 장치 제조
CS,065770,통신 장비 제조
웰크론,065950,직물제품 제조
하츠,066130,가정용 기기 제조
큐에스아이,066310,반도체 제조
체리부로,066360,도축 및 육류 가공
버킷스튜디오,066410,방송 컨텐츠 제작
와이오엠,066430,전문 도매
LG전자,066570,통신 장비 제조
우수AMS,066590,자동차 부품
국보디자인,066620,실내 건축
디스플레이텍,066670,전자부품 제조
테라젠이텍스,066700,의약품 제조
씨씨에스,066790,텔레비전 방송
제노텍,066830,화학제품
디에이피,066900,전자부품 제조
손오공,066910,전문 도매
엘앤에프,066970,배터리 제조
이엔코퍼레이션,066980,서비스
조이시티,067000,소프트웨어 개발
이씨에스,067010,컴퓨터 시스템 관리
대화제약,067080,의약품 제조
아프리카TV,067160,소프트웨어 개발
오텍,067170,자동차 부품 제조
멀티캠퍼스,067280,기타 교육기관
JW신약,067290,의약품 제조
하나마이크론,067310,반도체 제조
선바이오,067370,의약품 제조
아스트,067390,항공기 부품 제조
엔브이에이치코리아,067570,자동차 부품
HLB생명과학,067630,건축기술
로지시스,067730,컴퓨터 시스템 관리
세진티에스,067770,전자부품 제조
세이브존I&C,067830,종합 소매
와이엔텍,067900,폐기물 처리
이글루,067920,서비스
도이치모터스,067990,자동차 판매
팬엔터테인먼트,068050,방송 컨텐츠 제작
다원시스,068240,전기 장치 제조
셀트리온,068270,의약물 제조
삼성출판사,068290,인쇄물 출판
일신바이오,068330,일반 목적용 기계 제조
SK렌터카,068400,운송장비 임대
셀트리온제약,068760,의약품 제조
DMS,068790,특수 목적용 기계 제조
디지털대성,068930,교습 학원
아이씨케이,068940,전자부품 제조
웹젠,069080,소프트웨어 개발
코스온,069110,화학제품
누리플랜,069140,구조용 금속제품 제조
티케이지휴켐스,069260,화학제품
유아이디,069330,전자부품 제조
엔텔스,069410,소프트웨어 개발
대호에이엘,069460,1차 비철금속 제조
에스텍,069510,영상 및 음향기기 제조
라이트론,069540,통신 장비 제조
대웅제약,069620,의약품 제조
한세엠케이,069640,의류 소매업
DSR제강,069730,1차 철강
아이에스이커머스,069920,무점포 소매
현대백화점,069960,종합 소매
엑스큐어,070300,소프트웨어 개발
한솔인티큐브,070590,컴퓨터 시스템 관리
용평리조트,070960,숙박시설 운영
한국금융지주,071050,기타 금융
하이스틸,071090,1차 철강
인피니트헬스케어,071200,소프트웨어 개발
로체시스템즈,071280,특수 목적용 기계 제조
지역난방공사,071320,"증기, 냉·온수 및 공기조절 공급"
위니아,071460,가정용 기기 제조
에이테크솔루션,071670,특수 목적용 기계 제조
롯데하이마트,071840,가전제품 및 정보통신장비 소매
캐스텍코리아,071850,자동차 부품
코아스,071950,가구 제조
STX중공업,071970,일반 목적용 기계 제조
중앙백신,072020,의약물 제조
유엔젤,072130,인터넷 정보매개 서비스
우리산업홀딩스,072470,자동차 부품
제넨바이오,072520,생활용품 도매
농심홀딩스,072710,기타 금융
율호,072770,컴퓨터 시스템 관리
메가스터디,072870,인쇄물 출판
빛샘전자,072950,전자부품 제조
에이치시티,072990,과학기술 서비스
케이에스피,073010,일반 목적용 기계 제조
엘엠에스,073110,전자부품 제조
듀오백,073190,가구 제조
금호타이어,073240,고무제품 제조
이노와이어리스,073490,통신 장비 제조
에프알텍,073540,통신 장비 제조
우리손에프앤지,073560,도축 및 육류 가공
WI,073570,기타 제품 제조
테라사이언스,073640,금속 가공
아미노로직스,074430,전문 도매
원익QnC,074600,유리제품 제조
이엔플러스,074610,일반 목적용 기계 제조
플랜티넷,075130,컴퓨터 시스템 관리
새론오토모티브,075180,자동차 부품
세진중공업,075580,선박 건조
동국알앤에스,075970,비금속 광물 제조
웰크론한텍,076080,건물 건설
관악산업,076340,기반조성 및 시설물 축조
해성옵틱스,076610,광학기기 제조
덕산하이메탈,077360,반도체 제조
유니퀘스트,077500,기계장비 도매
STX엔진,077970,일반 목적용 기계 제조
텔코웨어,078000,인터넷 정보매개 서비스
이베스트투자증권,078020,금융 지원
유비쿼스홀딩스,078070,통신 장비 제조
국일제지,078130,종이 및 판지 제품 제조
대봉엘에스,078140,의약품 제조
HB테크놀러지,078150,특수 목적용 기계 제조
메디포스트,078160,의약물 제조
컴투스,078340,소프트웨어 개발
한양디지텍,078350,반도체 제조
에이블씨엔씨,078520,화학제품
디아크,078590,자동차 부품
대주전자재료,078600,전자부품 제조
지나인제약,078650,광학기기 제조
아이오케이,078860,방송 컨텐츠 제작
가온미디어,078890,통신 장비 제조
GS,078930,기타 금융
코드네이처,078940,전기 및 통신 공사
와토스코리아,079000,플라스틱제품 제조
CJ CGV,079160,방송 컨텐츠 제작
한창산업,079170,1차 비철금속 제조
케스피온,079190,통신 장비 제조
제우스,079370,특수 목적용 기계 제조
현대리바트,079430,가구 제조
LIG넥스원,079550,무기 제조
서산,079650,"시멘트, 석회, 플라스터"
디이엔티,079810,특수 목적용 기계 제조
가비아,079940,소프트웨어 개발
인베니아,079950,특수 목적용 기계 제조
동양이엔피,079960,전기 장치 제조
투비소프트,079970,소프트웨어 개발
휴비스,079980,화학섬유 제조
에스엔유,080000,특수 목적용 기계 제조
이상네트웍스,080010,상품 중개
모두투어,080160,여행사
제주반도체,080220,반도체 제조
모다이노칩,080420,의류 소매업
성창오토텍,080470,자동차 부품
오디텍,080520,반도체 제조
코디,080530,화학제품
오킨스전자,080580,전자부품 제조
한국유니온제약,080720,의약품 제조
일진다이아,081000,화학제품
티플랙스,081150,금속 가공
성우전자,081580,통신 장비 제조
휠라홀딩스,081660,생활용품 도매
옵트론텍,082210,광학기기 제조
젬백스,082270,특수 목적용 기계 제조
동양생명,082640,보험
코스나인,082660,화학제품
HSD엔진,082740,일반 목적용 기계 제조
비보존 헬스케어,082800,반도체 제조
우리바이오,082850,조명장치
비츠로셀,082920,배터리 제조
엘오티베큠,083310,특수 목적용 기계 제조
그린케미칼,083420,화학제품
GST,083450,특수 목적용 기계 제조
이엠앤아이,083470,플라스틱제품 제조
에프엔에스테크,083500,특수 목적용 기계 제조
케이엠,083550,섬유제품 제조
인콘,083640,통신 장비 제조
비에이치아이,083650,일반 목적용 기계 제조
CSA 코스믹,083660,화학제품
크리스탈지노믹스,083790,연구개발
아바코,083930,특수 목적용 기계 제조
대한제강,084010,1차 철강
휴온스글로벌,084110,의약품 제조
EV수성,084180,일반 목적용 기계 제조
유진테크,084370,특수 목적용 기계 제조
유비온,084440,서비스
랩지노믹스,084650,연구개발
동양고속,084670,육상 여객 운송
이월드,084680,귀금속 및 장신용품 제조
대상홀딩스,084690,기타 금융
팅크웨어,084730,통신 장비 제조
아이티엠반도체,084850,전자부품 제조
티비에이치글로벌,084870,의복 제조
헬릭스미스,084990,연구개발
엔케이,085310,구조용 금속제품 제조
루트로닉,085370,의료기기 제조
미래에셋생명,085620,보험
차바이오텍,085660,의약물 제조
뉴프렉스,085670,전자부품 제조
알티캐스트,085810,소프트웨어 개발
네오티스,085910,자동차 부품
바이오톡스텍,086040,연구개발
진바이오텍,086060,사료 제조
비엘헬스케어,086220,기타 식품 제조
현대글로비스,086280,운송 서비스
유니테스트,086390,특수 목적용 기계 제조
동국제약,086450,의약품 제조
에스엔피제네틱스,086460,연구개발
에코프로,086520,화학제품
비엠티,086670,일반 목적용 기계 제조
선진뷰티사이언스,086710,화학제품
하나금융지주,086790,기타 금융
바이오솔루션,086820,의약물 제조
이수앱지스,086890,의료용품 제조
메디톡스,086900,의약물 제조
한컴MDS,086960,소프트웨어 개발
쇼박스,086980,방송 컨텐츠 제작
펩트론,087010,의약물 제조
모바일어플라이언스,087260,소프트웨어 개발
픽셀플러스,087600,전자부품 제조
동아엘텍,088130,특수 목적용 기계 제조
이리츠코크렙,088260,부동산
이원컴포텍,088290,자동차 부품
한화생명,088350,보험
이녹스,088390,운송장비 제조
진도,088790,전문 도매
에이스테크,088800,통신 장비 제조
동우팜투테이블,088910,도축 및 육류 가공
맥쿼리인프라,088980,신탁 및 집합투자
켐트로닉스,089010,화학제품
테크윙,089030,특수 목적용 기계 제조
넥스턴바이오,089140,유리제품 제조
케이씨티,089150,컴퓨터 시스템 관리
THE E&M,089230,서비스
HDC현대EP,089470,화학제품
에이티세미콘,089530,반도체 제조
제주항공,089590,항공 여객 운송
나스미디어,089600,광고
제이티,089790,특수 목적용 기계 제조
유비벨록스,089850,소프트웨어 개발
롯데렌탈,089860,운송장비 임대
코세스,089890,특수 목적용 기계 제조
에이피티씨,089970,특수 목적용 기계 제조
상아프론테크,089980,플라스틱제품 제조
평화산업,090080,자동차 부품
아이윈,090150,자동차 부품
노루페인트,090350,화학제품
로보스타,090360,특수 목적용 기계 제조
메타랩스,090370,의복 제조
덕신하우징,090410,구조용 금속제품 제조
아모레퍼시픽,090430,화학제품
비에이치,090460,전자부품 제조
제이스텍,090470,특수 목적용 기계 제조
휴림로봇,090710,특수 목적용 기계 제조
연이비앤티,090740,전자부품 제조
현대이지웰,090850,소프트웨어 개발
세원이앤씨,091090,구조용 금속제품 제조
이엠텍,091120,전자부품 제조
S&K폴리텍,091340,전자부품 제조
텔레필드,091440,통신 장비 제조
상신이디피,091580,배터리 제조
남화토건,091590,건물 건설
파트론,091700,전자부품 제조
티웨이항공,091810,항공 여객 운송
나노캠텍,091970,플라스틱제품 제조
셀트리온헬스케어,091990,전문 도매
아미코젠,092040,기타 식품 제조
디엔에프,092070,화학제품
이크레더블,092130,서비스
서울바이오시스,092190,반도체 제조
디아이씨,092200,자동차 부품
KEC,092220,반도체 제조
KPX홀딩스,092230,화학물질 제조
현우산업,092300,전자부품 제조
기신정기,092440,특수 목적용 기계 제조
한라IMS,092460,선박 건조
럭스피아,092590,반도체 제조
앤씨앤,092600,반도체 제조
네오팜,092730,화학제품
동양피스톤,092780,자동차 엔진 및 자동차 제조
엑시콘,092870,특수 목적용 기계 제조
LF,093050,의복 제조
빅솔론,093190,컴퓨터 주변장치 제조
이아이디,093230,전문 도매
형지엘리트,093240,의복 제조
케이아이엔엑스,093320,인터넷 정보매개 서비스
후성,093370,화학물질 제조
풍강,093380,금속 가공
엔지브이아이,093510,자동차 부품
매커스,093520,기계장비 도매
다믈멀티미디어,093640,반도체 제조
서원인텍,093920,통신 장비 제조
동운아나텍,094170,반도체 제조
효성 ITX,094280,사업지원 서비스
칩스앤미디어,094360,반도체 제조
갤럭시아머니트리,094480,소프트웨어 개발
맵스리얼티1,094800,신탁 및 집합투자
일진파워,094820,전기 및 통신 공사
슈프리마에이치큐,094840,통신 장비 제조
참좋은여행,094850,여행사
네오리진,094860,소프트웨어 개발
푸른기술,094940,컴퓨터 주변장치 제조
제이엠티,094970,전자부품 제조
이엠코리아,095190,특수 목적용 기계 제조
웨이브일렉트로,095270,정밀기기 제조
ISC,095340,전자부품 제조
미래나노텍,095500,플라스틱제품 제조
AJ네트웍스,095570,산업용 기계 및 장비 임대
테스,095610,특수 목적용 기계 제조
네오위즈,095660,소프트웨어 개발
제넥신,095700,연구개발
웅진씽크빅,095720,초등 교육기관
에스에너지,095910,전기 장치 제조
이트론,096040,전문 도매
크레버스,096240,교습 학원
베트남개발1,096300,신탁 및 집합투자
대창솔루션,096350,구조용 금속제품 제조
씨젠,096530,의료용품 제조
알에프세미,096610,반도체 제조
에스코넥,096630,통신 장비 제조
멜파스,096640,전자부품 제조
에이루트,096690,컴퓨터 주변장치 제조
JW홀딩스,096760,기타 금융
SK이노베이션,096770,석유 정제품 제조
엘디티,096870,반도체 제조
HJ중공업,097230,토목 건설
엠씨넥스,097520,영상 및 음향기기 제조
에스맥,097780,통신 장비 제조
윈팩,097800,반도체 제조
효성오앤비,097870,농업 제품 제조
CJ제일제당,097950,기타 식품 제조
마이크로컨텍솔,098120,전자부품 제조
고영,098460,특수 목적용 기계 제조
에스티오,098660,의복 제조
아이센스,099190,의료기기 제조
SDN,099220,기계장비 도매
쎄트렉아이,099320,항공기 부품 제조
브레인즈컴퍼니,099390,소프트웨어 개발
동방선기,099410,선박 건조
바이오플러스,099430,의약물 제조
스맥,099440,특수 목적용 기계 제조
ITX-AI,099520,영상 및 음향기기 제조
이지케어텍,099750,소프트웨어 개발
모바일리더,100030,소프트웨어 개발
삼강엠앤티,100090,1차 철강
뷰웍스,100120,의료기기 제조
동국S&C,100130,구조용 금속제품 제조
비상교육,100220,인쇄물 출판
진양홀딩스,100250,플라스틱제품 제조
머큐리,100590,통신 장비 제조
서암기계공업,100660,일반 목적용 기계 제조
세운메디칼,100700,의료용품 제조
미래에셋벤처투자,100790,기타 금융
SNT에너지,100840,일반 목적용 기계 제조
상상인인더스트리,101000,특수 목적용 기계 제조
인바이오젠,101140,생활용품 도매
월덱스,101160,전자부품 제조
우림피티에스,101170,일반 목적용 기계 제조
씨큐브,101240,화학물질 제조
모베이스,101330,통신 장비 제조
이엔드디,101360,화학제품
아이엠,101390,전자부품 제조
엔시트론,101400,반도체 제조
에스앤에스텍,101490,전자부품 제조
해태제과식품,101530,기타 식품 제조
코리아에스이,101670,구조용 금속제품 제조
한국정밀기계,101680,특수 목적용 기계 제조
위메이드맥스,101730,소프트웨어 개발
인화정공,101930,선박 건조
어보브반도체,102120,반도체 제조
동성케미컬,102260,회사 본부 및 경영 컨설팅
쌍방울,102280,의복 제조
케이옥션,102370,상품 중개
이연제약,102460,의약품 제조
이엔에프테크놀로지,102710,화학제품
코오롱생명과학,102940,의약물 제조
풍산,103140,1차 비철금속 제조
에스앤더블류,103230,일반 목적용 기계 제조
일진전기,103590,케이블 제조
씨앗,103660,화학제품
우양,103840,"과실, 채소 가공 및 저장 처리"
대성파인텍,104040,자동차 부품
NHN벅스,104200,소프트웨어 개발
디와이피엔에프,104460,일반 목적용 기계 제조
티케이케미칼,104480,화학섬유 제조
코렌텍,104540,의료기기 제조
노랑풍선,104620,여행사
한국철강,104700,1차 철강
원익머트리얼즈,104830,화학물질 제조
케이엔더블유,105330,전자부품 제조
트루윈,105550,전자부품 제조
KB금융,105560,기타 금융
한세실업,105630,의복 제조
디케이락,105740,일반 목적용 기계 제조
우진,105840,정밀기기 제조
하이소닉,106080,전자부품 제조
하이텍팜,106190,전문 도매
파인테크닉스,106240,통신 장비 제조
노블엠앤비,106520,광학기기 제조
미원홀딩스,107590,기타 금융
한중엔시에스,107640,자동차 부품
톱텍,108230,특수 목적용 기계 제조
LX세미콘,108320,반도체 제조
대양전기공업,108380,선박 건조
로보티즈,108490,특수 목적용 기계 제조
LX하우시스,108670,플라스틱제품 제조
셀바스AI,108860,소프트웨어 개발
컨버즈,109070,통신 장비 제조
옵티시스,109080,통신 장비 제조
에스와이,109610,구조용 금속제품 제조
디에스케이,109740,특수 목적용 기계 제조
진매트릭스,109820,연구개발
동일금속,109860,금속 주조
에이프로젠 H&G,109960,전문 도매
전진바이오팜,110020,화학제품
크리스에프앤씨,110790,의복 제조
디아이티,110990,특수 목적용 기계 제조
호전실업,111110,의복 제조
남화산업,111710,스포츠
영원무역,111770,상품 종합 도매
KH 전자,111870,영상 및 음향기기 제조
위메이드,112040,소프트웨어 개발
KC산업,112190,"시멘트, 석회, 플라스터"
씨에스윈드,112610,구조용 금속제품 제조
디젠스,113810,자동차 부품
GKL,114090,오락
크루셜텍,114120,전자부품 제조
강원에너지,114190,구조용 금속제품 제조
KPX생명과학,114450,의약물 제조
폴라리스우노,114630,화학섬유 제조
아이원스,114810,특수 목적용 기계 제조
아이패밀리에스씨,114840,화학제품
대주이엔티,114920,1차 철강
휴맥스,115160,영상 및 음향기기 제조
큐리언트,115180,연구개발
인포바인,115310,전기 통신
락앤락,115390,플라스틱제품 제조
우리넷,115440,통신 장비 제조
HLB테라퓨틱스,115450,전문 도매
씨유메디칼,115480,의료기기 제조
케이씨에스,115500,컴퓨터 시스템 관리
씨엔플러스,115530,전자부품 제조
스타플렉스,115570,플라스틱제품 제조
이미지스,115610,반도체 제조
연우,115960,플라스틱제품 제조
태양기계,116100,자동차 부품
대성에너지,117580,연료용 가스 제조 및 배관
알파홀딩스,117670,반도체 제조
