회사명,종목코드,업종
롯데정밀화학,004000,화학물질 제조
현대제철,004020,1차 철강
SG세계물산,004060,상품 종합 도매
신흥,004080,기계장비 도매
한국석유공업,004090,비금속 광물 제조
태양금속공업,004100,자동차 부품
동방,004140,운송 서비스
한솔홀딩스,004150,기타 금융
신세계,004170,종합 소매
엔피씨,004250,플라스틱제품 제조
남성,004270,전문 도매
현대약품,004310,의약품 제조
세방,004360,도로 화물 운송
농심,004370,기타 식품 제조
삼익THK,004380,일반 목적용 기계 제조
서울식품공업,004410,기타 식품 제조
송원산업,004430,화학제품
삼일씨엔에스,004440,"시멘트, 석회, 플라스터"
삼화왕관,004450,금속 가공
세방전지,004490,배터리 제조
깨끗한나라,004540,"펄프, 종이 및 판지 제조"
현대비앤지스틸,004560,1차 철강
한국가구,004590,생활용품 도매
창해에탄올,004650,알코올 음료
삼천리,004690,연료용 가스 제조 및 배관
조광피혁,004700,"가죽, 가방 제조"
한솔테크닉스,004710,전자부품 제조
팜젠사이언스,004720,의약품 제조
써니전자,004770,전자부품 제조
대륙제관,004780,금속 가공
효성,004800,기타 금융
덕성,004830,플라스틱제품 제조
DRB동일,004840,고무제품 제조
티웨이홀딩스,004870,"시멘트, 석회, 플라스터"
동일산업,004890,1차 철강
조광페인트,004910,화학제품
씨아이테크,004920,기타 제품 제조
한신공영,004960,건물 건설
신라교역,004970,어업
성신양회,004980,"시멘트, 석회, 플라스터"
롯데지주,004990,기타 금융
휴스틸,005010,1차 철강
부산주공,005030,자동차 부품
코스모신소재,005070,화학제품
SGC에너지,005090,전기
한창,005110,기계장비 도매
동국산업,005160,1차 철강
빙그레,005180,유제품 및 빙과류 제조
녹십자홀딩스,005250,회사 본부 및 경영 컨설팅
동진쎄미켐,005290,화학물질 제조
롯데칠성음료,005300,음료 제조
국동,005320,생활용품 도매
모나미,005360,생활용품 도매
현대자동차,005380,자동차 엔진 및 자동차 제조
신성통상,005390,전문 도매
코스모화학,005420,화학제품
한국공항,005430,운송 서비스
현대그린푸드,005440,종합 소매
